time,clintellimqtt_consumer.value
2019-08-10T20:58:47.107Z,523
2019-08-10T20:58:47.108Z,494
2019-08-10T20:58:47.109Z,526
2019-08-10T20:58:47.110Z,554
2019-08-10T20:58:47.111Z,547
2019-08-10T20:58:47.112Z,468
2019-08-10T20:58:47.264Z,508
2019-08-10T20:58:47.265Z,540
2019-08-10T20:58:47.266Z,550
2019-08-10T20:58:47.267Z,559
2019-08-10T20:58:47.268Z,625
2019-08-10T20:58:47.269Z,612
2019-08-10T20:58:47.423Z,637
2019-08-10T20:58:47.424Z,661
2019-08-10T20:58:47.425Z,533
2019-08-10T20:58:47.426Z,509
2019-08-10T20:58:47.427Z,496
2019-08-10T20:58:47.428Z,514
2019-08-10T20:58:47.581Z,507
2019-08-10T20:58:47.582Z,531
2019-08-10T20:58:47.583Z,496
2019-08-10T20:58:47.584Z,523
2019-08-10T20:58:47.585Z,487
2019-08-10T20:58:47.586Z,522
2019-08-10T20:58:47.736Z,506
2019-08-10T20:58:47.737Z,518
2019-08-10T20:58:47.738Z,502
2019-08-10T20:58:47.739Z,535
2019-08-10T20:58:47.740Z,493
2019-08-10T20:58:47.741Z,513
2019-08-10T20:58:47.893Z,521
2019-08-10T20:58:47.894Z,822
2019-08-10T20:58:47.895Z,319
2019-08-10T20:58:47.896Z,496
2019-08-10T20:58:47.897Z,542
2019-08-10T20:58:47.898Z,524
2019-08-10T20:58:48.050Z,534
2019-08-10T20:58:48.051Z,547
2019-08-10T20:58:48.052Z,615
2019-08-10T20:58:48.053Z,637
2019-08-10T20:58:48.054Z,658
2019-08-10T20:58:48.055Z,546
2019-08-10T20:58:48.210Z,546
2019-08-10T20:58:48.211Z,524
2019-08-10T20:58:48.212Z,509
2019-08-10T20:58:48.213Z,500
2019-08-10T20:58:48.214Z,505
2019-08-10T20:58:48.215Z,521
2019-08-10T20:58:48.216Z,516
2019-08-10T20:58:48.368Z,497
2019-08-10T20:58:48.369Z,523
2019-08-10T20:58:48.370Z,522
2019-08-10T20:58:48.371Z,523
2019-08-10T20:58:48.372Z,497
2019-08-10T20:58:48.373Z,507
2019-08-10T20:58:48.525Z,525
2019-08-10T20:58:48.526Z,511
2019-08-10T20:58:48.542Z,532
2019-08-10T20:58:48.547Z,372
2019-08-10T20:58:48.685Z,584
2019-08-10T20:58:48.686Z,615
2019-08-10T20:58:48.840Z,640
2019-08-10T20:58:48.841Z,642
2019-08-10T20:58:48.842Z,618
2019-08-10T20:58:48.843Z,501
2019-08-10T20:58:48.844Z,514
2019-08-10T20:58:48.845Z,518
2019-08-10T20:58:48.997Z,501
2019-08-10T20:58:48.998Z,488
2019-08-10T20:58:48.999Z,531
2019-08-10T20:58:49.000Z,495
2019-08-10T20:58:49.001Z,516
2019-08-10T20:58:49.002Z,501
2019-08-10T20:58:49.156Z,505
2019-08-10T20:58:49.157Z,493
2019-08-10T20:58:49.158Z,530
2019-08-10T20:58:49.159Z,495
2019-08-10T20:58:49.160Z,549
2019-08-10T20:58:49.161Z,555
2019-08-10T20:58:49.320Z,512
2019-08-10T20:58:49.321Z,525
2019-08-10T20:58:49.322Z,499
2019-08-10T20:58:49.323Z,843
2019-08-10T20:58:49.324Z,375
2019-08-10T20:58:49.325Z,536
2019-08-10T20:58:49.476Z,513
2019-08-10T20:58:49.477Z,531
2019-08-10T20:58:49.478Z,545
2019-08-10T20:58:49.479Z,576
2019-08-10T20:58:49.480Z,585
2019-08-10T20:58:49.481Z,666
2019-08-10T20:58:49.633Z,654
2019-08-10T20:58:49.634Z,645
2019-08-10T20:58:49.635Z,517
2019-08-10T20:58:49.636Z,519
2019-08-10T20:58:49.637Z,494
2019-08-10T20:58:49.638Z,514
2019-08-10T20:58:49.790Z,499
2019-08-10T20:58:49.791Z,512
2019-08-10T20:58:49.792Z,506
2019-08-10T20:58:49.793Z,520
2019-08-10T20:58:49.794Z,495
2019-08-10T20:58:49.795Z,498
2019-08-10T20:58:49.947Z,537
2019-08-10T20:58:49.948Z,498
2019-08-10T20:58:49.949Z,529
2019-08-10T20:58:49.950Z,508
2019-08-10T20:58:49.951Z,535
2019-08-10T20:58:49.952Z,530
2019-08-10T20:58:50.105Z,505
2019-08-10T20:58:50.106Z,533
2019-08-10T20:58:50.107Z,536
2019-08-10T20:58:50.108Z,583
2019-08-10T20:58:50.109Z,540
2019-08-10T20:58:50.110Z,528
2019-08-10T20:58:50.261Z,517
2019-08-10T20:58:50.262Z,541
2019-08-10T20:58:50.263Z,537
2019-08-10T20:58:50.264Z,579
2019-08-10T20:58:50.265Z,579
2019-08-10T20:58:50.266Z,657
2019-08-10T20:58:50.418Z,636
2019-08-10T20:58:50.419Z,666
2019-08-10T20:58:50.420Z,595
2019-08-10T20:58:50.421Z,516
2019-08-10T20:58:50.422Z,497
2019-08-10T20:58:50.423Z,524
2019-08-10T20:58:50.577Z,516
2019-08-10T20:58:50.578Z,500
2019-08-10T20:58:50.579Z,533
2019-08-10T20:58:50.580Z,494
2019-08-10T20:58:50.581Z,517
2019-08-10T20:58:50.582Z,504
2019-08-10T20:58:50.736Z,526
2019-08-10T20:58:50.737Z,497
2019-08-10T20:58:50.738Z,517
2019-08-10T20:58:50.739Z,501
2019-08-10T20:58:50.740Z,555
2019-08-10T20:58:50.741Z,524
2019-08-10T20:58:50.893Z,506
2019-08-10T20:58:50.894Z,524
2019-08-10T20:58:50.895Z,672
2019-08-10T20:58:50.896Z,511
2019-08-10T20:58:50.897Z,541
2019-08-10T20:58:50.898Z,525
2019-08-10T20:58:51.051Z,554
2019-08-10T20:58:51.052Z,546
2019-08-10T20:58:51.053Z,606
2019-08-10T20:58:51.054Z,631
2019-08-10T20:58:51.055Z,658
2019-08-10T20:58:51.056Z,633
2019-08-10T20:58:51.207Z,596
2019-08-10T20:58:51.208Z,511
2019-08-10T20:58:51.209Z,510
2019-08-10T20:58:51.210Z,489
2019-08-10T20:58:51.211Z,511
2019-08-10T20:58:51.212Z,502
2019-08-10T20:58:51.364Z,517
2019-08-10T20:58:51.365Z,504
2019-08-10T20:58:51.366Z,513
2019-08-10T20:58:51.367Z,486
2019-08-10T20:58:51.368Z,523
2019-08-10T20:58:51.369Z,517
2019-08-10T20:58:51.521Z,495
2019-08-10T20:58:51.522Z,522
2019-08-10T20:58:51.523Z,516
2019-08-10T20:58:51.524Z,529
2019-08-10T20:58:51.525Z,517
2019-08-10T20:58:51.526Z,534
2019-08-10T20:58:51.678Z,514
2019-08-10T20:58:51.679Z,818
2019-08-10T20:58:51.680Z,337
2019-08-10T20:58:51.681Z,536
2019-08-10T20:58:51.682Z,521
2019-08-10T20:58:51.683Z,549
2019-08-10T20:58:51.837Z,553
2019-08-10T20:58:51.838Z,566
2019-08-10T20:58:51.839Z,600
2019-08-10T20:58:51.840Z,621
2019-08-10T20:58:51.841Z,672
2019-08-10T20:58:51.842Z,570
2019-08-10T20:58:51.843Z,576
2019-08-10T20:58:52.033Z,512
2019-08-10T20:58:52.034Z,501
2019-08-10T20:58:52.035Z,496
2019-08-10T20:58:52.036Z,490
2019-08-10T20:58:52.037Z,524
2019-08-10T20:58:52.038Z,498
2019-08-10T20:58:52.039Z,493
2019-08-10T20:58:52.053Z,518
2019-08-10T20:58:52.054Z,494
2019-08-10T20:58:52.212Z,526
2019-08-10T20:58:52.370Z,508
2019-08-10T20:58:52.371Z,524
2019-08-10T20:58:52.372Z,514
2019-08-10T20:58:52.373Z,850
2019-08-10T20:58:52.374Z,480
2019-08-10T20:58:52.375Z,512
2019-08-10T20:58:52.526Z,543
2019-08-10T20:58:52.527Z,536
2019-08-10T20:58:52.528Z,549
2019-08-10T20:58:52.529Z,572
2019-08-10T20:58:52.530Z,600
2019-08-10T20:58:52.531Z,616
2019-08-10T20:58:52.683Z,658
2019-08-10T20:58:52.684Z,674
2019-08-10T20:58:52.685Z,578
2019-08-10T20:58:52.686Z,529
2019-08-10T20:58:52.687Z,498
2019-08-10T20:58:52.688Z,506
2019-08-10T20:58:52.845Z,498
2019-08-10T20:58:52.846Z,531
2019-08-10T20:58:52.847Z,496
2019-08-10T20:58:52.848Z,517
2019-08-10T20:58:52.849Z,505
2019-08-10T20:58:52.850Z,490
2019-08-10T20:58:53.002Z,526
2019-08-10T20:58:53.003Z,496
2019-08-10T20:58:53.004Z,531
2019-08-10T20:58:53.005Z,523
2019-08-10T20:58:53.006Z,520
2019-08-10T20:58:53.007Z,541
2019-08-10T20:58:53.163Z,538
2019-08-10T20:58:53.164Z,507
2019-08-10T20:58:53.165Z,523
2019-08-10T20:58:53.166Z,852
2019-08-10T20:58:53.167Z,425
2019-08-10T20:58:53.168Z,541
2019-08-10T20:58:53.320Z,508
2019-08-10T20:58:53.321Z,554
2019-08-10T20:58:53.322Z,535
2019-08-10T20:58:53.323Z,570
2019-08-10T20:58:53.324Z,600
2019-08-10T20:58:53.325Z,649
2019-08-10T20:58:53.479Z,669
2019-08-10T20:58:53.480Z,641
2019-08-10T20:58:53.481Z,566
2019-08-10T20:58:53.482Z,490
2019-08-10T20:58:53.483Z,525
2019-08-10T20:58:53.484Z,523
2019-08-10T20:58:53.636Z,499
2019-08-10T20:58:53.637Z,528
2019-08-10T20:58:53.638Z,506
2019-08-10T20:58:53.639Z,520
2019-08-10T20:58:53.640Z,493
2019-08-10T20:58:53.641Z,526
2019-08-10T20:58:53.793Z,518
2019-08-10T20:58:53.794Z,511
2019-08-10T20:58:53.795Z,513
2019-08-10T20:58:53.796Z,495
2019-08-10T20:58:53.797Z,548
2019-08-10T20:58:53.798Z,553
2019-08-10T20:58:53.952Z,544
2019-08-10T20:58:53.953Z,500
2019-08-10T20:58:53.954Z,538
2019-08-10T20:58:53.955Z,607
2019-08-10T20:58:53.956Z,379
2019-08-10T20:58:53.957Z,513
2019-08-10T20:58:54.111Z,511
2019-08-10T20:58:54.112Z,557
2019-08-10T20:58:54.113Z,564
2019-08-10T20:58:54.114Z,585
2019-08-10T20:58:54.115Z,600
2019-08-10T20:58:54.116Z,652
2019-08-10T20:58:54.270Z,657
2019-08-10T20:58:54.271Z,651
2019-08-10T20:58:54.272Z,540
2019-08-10T20:58:54.273Z,519
2019-08-10T20:58:54.274Z,486
2019-08-10T20:58:54.275Z,504
2019-08-10T20:58:54.426Z,521
2019-08-10T20:58:54.427Z,494
2019-08-10T20:58:54.428Z,525
2019-08-10T20:58:54.429Z,487
2019-08-10T20:58:54.430Z,522
2019-08-10T20:58:54.431Z,497
2019-08-10T20:58:54.583Z,504
2019-08-10T20:58:54.584Z,514
2019-08-10T20:58:54.585Z,522
2019-08-10T20:58:54.586Z,535
2019-08-10T20:58:54.587Z,493
2019-08-10T20:58:54.588Z,524
2019-08-10T20:58:54.589Z,507
2019-08-10T20:58:54.740Z,555
2019-08-10T20:58:54.741Z,861
2019-08-10T20:58:54.742Z,495
2019-08-10T20:58:54.743Z,508
2019-08-10T20:58:54.744Z,553
2019-08-10T20:58:54.745Z,556
2019-08-10T20:58:54.897Z,533
2019-08-10T20:58:54.898Z,552
2019-08-10T20:58:54.899Z,604
2019-08-10T20:58:54.900Z,655
2019-08-10T20:58:54.901Z,634
2019-08-10T20:58:54.902Z,571
2019-08-10T20:58:55.057Z,522
2019-08-10T20:58:55.058Z,505
2019-08-10T20:58:55.059Z,484
2019-08-10T20:58:55.060Z,521
2019-08-10T20:58:55.061Z,488
2019-08-10T20:58:55.062Z,517
2019-08-10T20:58:55.215Z,495
2019-08-10T20:58:55.216Z,486
2019-08-10T20:58:55.217Z,519
2019-08-10T20:58:55.218Z,488
2019-08-10T20:58:55.219Z,538
2019-08-10T20:58:55.220Z,537
2019-08-10T20:58:55.372Z,500
2019-08-10T20:58:55.373Z,500
2019-08-10T20:58:55.374Z,488
2019-08-10T20:58:55.375Z,855
2019-08-10T20:58:55.376Z,438
2019-08-10T20:58:55.377Z,517
2019-08-10T20:58:55.529Z,505
2019-08-10T20:58:55.530Z,529
2019-08-10T20:58:55.531Z,536
2019-08-10T20:58:55.532Z,541
2019-08-10T20:58:55.533Z,607
2019-08-10T20:58:55.534Z,631
2019-08-10T20:58:55.692Z,643
2019-08-10T20:58:55.693Z,631
2019-08-10T20:58:55.694Z,505
2019-08-10T20:58:55.695Z,522
2019-08-10T20:58:55.696Z,501
2019-08-10T20:58:55.697Z,523
2019-08-10T20:58:55.851Z,504
2019-08-10T20:58:55.852Z,529
2019-08-10T20:58:55.853Z,512
2019-08-10T20:58:55.854Z,508
2019-08-10T20:58:55.855Z,523
2019-08-10T20:58:55.856Z,504
2019-08-10T20:58:56.008Z,534
2019-08-10T20:58:56.009Z,509
2019-08-10T20:58:56.010Z,541
2019-08-10T20:58:56.011Z,502
2019-08-10T20:58:56.012Z,526
2019-08-10T20:58:56.013Z,661
2019-08-10T20:58:56.165Z,832
2019-08-10T20:58:56.166Z,346
2019-08-10T20:58:56.167Z,509
2019-08-10T20:58:56.168Z,546
2019-08-10T20:58:56.169Z,543
2019-08-10T20:58:56.170Z,560
2019-08-10T20:58:56.325Z,565
2019-08-10T20:58:56.326Z,644
2019-08-10T20:58:56.327Z,643
2019-08-10T20:58:56.328Z,618
2019-08-10T20:58:56.329Z,516
2019-08-10T20:58:56.330Z,488
2019-08-10T20:58:56.482Z,501
2019-08-10T20:58:56.483Z,520
2019-08-10T20:58:56.484Z,534
2019-08-10T20:58:56.485Z,501
2019-08-10T20:58:56.486Z,526
2019-08-10T20:58:56.487Z,506
2019-08-10T20:58:56.639Z,505
2019-08-10T20:58:56.640Z,520
2019-08-10T20:58:56.641Z,496
2019-08-10T20:58:56.642Z,535
2019-08-10T20:58:56.643Z,525
2019-08-10T20:58:56.644Z,518
2019-08-10T20:58:56.796Z,523
2019-08-10T20:58:56.797Z,497
2019-08-10T20:58:56.798Z,764
2019-08-10T20:58:56.799Z,315
2019-08-10T20:58:56.800Z,512
2019-08-10T20:58:56.801Z,540
2019-08-10T20:58:56.957Z,531
2019-08-10T20:58:56.958Z,546
2019-08-10T20:58:56.959Z,583
2019-08-10T20:58:56.960Z,598
2019-08-10T20:58:56.961Z,637
2019-08-10T20:58:56.962Z,661
2019-08-10T20:58:57.152Z,589
2019-08-10T20:58:57.153Z,521
2019-08-10T20:58:57.154Z,478
2019-08-10T20:58:57.155Z,488
2019-08-10T20:58:57.156Z,521
2019-08-10T20:58:57.157Z,509
2019-08-10T20:58:57.158Z,495
2019-08-10T20:58:57.173Z,524
2019-08-10T20:58:57.174Z,505
2019-08-10T20:58:57.331Z,522
2019-08-10T20:58:57.490Z,495
2019-08-10T20:58:57.491Z,484
2019-08-10T20:58:57.492Z,870
2019-08-10T20:58:57.493Z,399
2019-08-10T20:58:57.494Z,524
2019-08-10T20:58:57.495Z,534
2019-08-10T20:58:57.647Z,541
2019-08-10T20:58:57.648Z,583
2019-08-10T20:58:57.649Z,589
2019-08-10T20:58:57.650Z,676
2019-08-10T20:58:57.651Z,630
2019-08-10T20:58:57.803Z,585
2019-08-10T20:58:57.804Z,533
2019-08-10T20:58:57.805Z,513
2019-08-10T20:58:57.806Z,495
2019-08-10T20:58:57.807Z,513
2019-08-10T20:58:57.808Z,502
2019-08-10T20:58:57.961Z,526
2019-08-10T20:58:57.962Z,512
2019-08-10T20:58:57.963Z,500
2019-08-10T20:58:57.964Z,501
2019-08-10T20:58:57.965Z,524
2019-08-10T20:58:57.966Z,525
2019-08-10T20:58:58.118Z,526
2019-08-10T20:58:58.119Z,514
2019-08-10T20:58:58.120Z,542
2019-08-10T20:58:58.121Z,746
2019-08-10T20:58:58.122Z,306
2019-08-10T20:58:58.123Z,413
2019-08-10T20:58:58.279Z,480
2019-08-10T20:58:58.280Z,524
2019-08-10T20:58:58.282Z,504
2019-08-10T20:58:58.298Z,559
2019-08-10T20:58:58.305Z,567
2019-08-10T20:58:58.306Z,609
2019-08-10T20:58:58.438Z,520
2019-08-10T20:58:58.592Z,488
2019-08-10T20:58:58.593Z,504
2019-08-10T20:58:58.594Z,516
2019-08-10T20:58:58.595Z,498
2019-08-10T20:58:58.596Z,522
2019-08-10T20:58:58.597Z,490
2019-08-10T20:58:58.598Z,523
2019-08-10T20:58:58.750Z,524
2019-08-10T20:58:58.751Z,497
2019-08-10T20:58:58.752Z,521
2019-08-10T20:58:58.753Z,526
2019-08-10T20:58:58.754Z,495
2019-08-10T20:58:58.755Z,504
2019-08-10T20:58:58.907Z,496
2019-08-10T20:58:58.908Z,497
2019-08-10T20:58:58.909Z,882
2019-08-10T20:58:58.910Z,525
2019-08-10T20:58:58.911Z,517
2019-08-10T20:58:58.912Z,513
2019-08-10T20:58:59.066Z,557
2019-08-10T20:58:59.067Z,553
2019-08-10T20:58:59.068Z,590
2019-08-10T20:58:59.069Z,654
2019-08-10T20:58:59.070Z,637
2019-08-10T20:58:59.223Z,629
2019-08-10T20:58:59.224Z,522
2019-08-10T20:58:59.225Z,492
2019-08-10T20:58:59.226Z,525
2019-08-10T20:58:59.227Z,497
2019-08-10T20:58:59.228Z,516
2019-08-10T20:58:59.381Z,496
2019-08-10T20:58:59.382Z,511
2019-08-10T20:58:59.383Z,505
2019-08-10T20:58:59.384Z,521
2019-08-10T20:58:59.385Z,498
2019-08-10T20:58:59.386Z,526
2019-08-10T20:58:59.387Z,497
2019-08-10T20:58:59.538Z,496
2019-08-10T20:58:59.539Z,513
2019-08-10T20:58:59.540Z,514
2019-08-10T20:58:59.541Z,545
2019-08-10T20:58:59.542Z,494
2019-08-10T20:58:59.543Z,521
2019-08-10T20:58:59.696Z,506
2019-08-10T20:58:59.697Z,848
2019-08-10T20:58:59.698Z,380
2019-08-10T20:58:59.699Z,512
2019-08-10T20:58:59.700Z,552
2019-08-10T20:58:59.852Z,524
2019-08-10T20:58:59.853Z,569
2019-08-10T20:58:59.854Z,560
2019-08-10T20:58:59.855Z,634
2019-08-10T20:58:59.856Z,652
2019-08-10T20:58:59.857Z,650
2019-08-10T20:59:00.009Z,573
2019-08-10T20:59:00.010Z,514
2019-08-10T20:59:00.011Z,505
2019-08-10T20:59:00.012Z,501
2019-08-10T20:59:00.013Z,523
2019-08-10T20:59:00.014Z,504
2019-08-10T20:59:00.166Z,494
2019-08-10T20:59:00.167Z,526
2019-08-10T20:59:00.168Z,492
2019-08-10T20:59:00.169Z,517
2019-08-10T20:59:00.170Z,507
2019-08-10T20:59:00.171Z,500
2019-08-10T20:59:00.327Z,530
2019-08-10T20:59:00.328Z,500
2019-08-10T20:59:00.329Z,555
2019-08-10T20:59:00.330Z,504
