time,clintellimqtt_consumer.value
2019-08-11T17:54:38.062Z,603
2019-08-11T17:54:38.235Z,525
2019-08-11T17:54:38.236Z,507
2019-08-11T17:54:38.237Z,512
2019-08-11T17:54:38.238Z,518
2019-08-11T17:54:38.239Z,526
2019-08-11T17:54:38.240Z,536
2019-08-11T17:54:38.241Z,531
2019-08-11T17:54:38.242Z,532
2019-08-11T17:54:38.264Z,528
2019-08-11T17:54:38.265Z,530
2019-08-11T17:54:38.422Z,535
2019-08-11T17:54:38.581Z,544
2019-08-11T17:54:38.582Z,554
2019-08-11T17:54:38.583Z,543
2019-08-11T17:54:38.584Z,956
2019-08-11T17:54:38.585Z,386
2019-08-11T17:54:38.586Z,545
2019-08-11T17:54:38.587Z,549
2019-08-11T17:54:38.743Z,561
2019-08-11T17:54:38.744Z,583
2019-08-11T17:54:38.745Z,605
2019-08-11T17:54:38.746Z,629
2019-08-11T17:54:38.747Z,651
2019-08-11T17:54:38.748Z,706
2019-08-11T17:54:38.749Z,724
2019-08-11T17:54:38.906Z,717
2019-08-11T17:54:38.907Z,639
2019-08-11T17:54:38.908Z,567
2019-08-11T17:54:38.909Z,554
2019-08-11T17:54:38.910Z,560
2019-08-11T17:54:38.911Z,574
2019-08-11T17:54:38.912Z,577
2019-08-11T17:54:39.067Z,588
2019-08-11T17:54:39.068Z,583
2019-08-11T17:54:39.069Z,583
2019-08-11T17:54:39.070Z,585
2019-08-11T17:54:39.071Z,583
2019-08-11T17:54:39.072Z,582
2019-08-11T17:54:39.073Z,567
2019-08-11T17:54:39.074Z,573
2019-08-11T17:54:39.227Z,581
2019-08-11T17:54:39.228Z,603
2019-08-11T17:54:39.229Z,570
2019-08-11T17:54:39.230Z,559
2019-08-11T17:54:39.231Z,560
2019-08-11T17:54:39.232Z,553
2019-08-11T17:54:39.233Z,864
2019-08-11T17:54:39.419Z,423
2019-08-11T17:54:39.420Z,533
2019-08-11T17:54:39.421Z,520
2019-08-11T17:54:39.422Z,525
2019-08-11T17:54:39.423Z,520
2019-08-11T17:54:39.424Z,532
2019-08-11T17:54:39.425Z,552
2019-08-11T17:54:39.426Z,595
2019-08-11T17:54:39.446Z,612
2019-08-11T17:54:39.447Z,631
2019-08-11T17:54:39.605Z,628
2019-08-11T17:54:39.766Z,439
2019-08-11T17:54:39.767Z,436
2019-08-11T17:54:39.768Z,433
2019-08-11T17:54:39.769Z,417
2019-08-11T17:54:39.770Z,416
2019-08-11T17:54:39.771Z,425
2019-08-11T17:54:39.776Z,421
2019-08-11T17:54:39.926Z,433
2019-08-11T17:54:39.927Z,454
2019-08-11T17:54:39.928Z,430
2019-08-11T17:54:39.929Z,430
2019-08-11T17:54:39.930Z,432
2019-08-11T17:54:39.931Z,488
2019-08-11T17:54:39.932Z,881
2019-08-11T17:54:40.085Z,264
2019-08-11T17:54:40.086Z,438
2019-08-11T17:54:40.087Z,445
2019-08-11T17:54:40.088Z,472
2019-08-11T17:54:40.089Z,475
2019-08-11T17:54:40.090Z,497
2019-08-11T17:54:40.091Z,525
2019-08-11T17:54:40.243Z,544
2019-08-11T17:54:40.244Z,589
2019-08-11T17:54:40.245Z,617
2019-08-11T17:54:40.246Z,574
2019-08-11T17:54:40.247Z,495
2019-08-11T17:54:40.248Z,462
2019-08-11T17:54:40.249Z,457
2019-08-11T17:54:40.402Z,474
2019-08-11T17:54:40.403Z,482
2019-08-11T17:54:40.404Z,492
2019-08-11T17:54:40.405Z,507
2019-08-11T17:54:40.406Z,498
2019-08-11T17:54:40.407Z,506
2019-08-11T17:54:40.408Z,507
2019-08-11T17:54:40.561Z,516
2019-08-11T17:54:40.562Z,506
2019-08-11T17:54:40.563Z,540
2019-08-11T17:54:40.564Z,557
2019-08-11T17:54:40.565Z,529
2019-08-11T17:54:40.566Z,532
2019-08-11T17:54:40.567Z,529
2019-08-11T17:54:40.719Z,529
2019-08-11T17:54:40.720Z,890
2019-08-11T17:54:40.721Z,375
